Decks,Word,Definition,Example,Article,Plural,Past Tense,Future Tense,Past Participle,Exercise Type,Question,Correct Answer,Options,Explanation
Chapter 1 > 1.1,administratie,administration,,,,,,,,,,,
Chapter 1 > 1.1,coach,coach,,,,,,,,,,,
Chapter 1 > 1.1,depressief,depressed,,,,,,,,,,,
Chapter 1 > 1.1,dienst,employ,,,,,,,,,,,
Chapter 1 > 1.1,enthousiast,enthusiastic,,,,,,,,,,,
Chapter 1 > 1.1,gewoonte,habit,,,,,,,,,,,
Chapter 1 > 1.1,halen,to fetch ,,,,,,,,,,,
Chapter 1 > 1.1,ideaal,ideal,,,,,,,,,,,
Chapter 1 > 1.1,klaarmaken,prepare,,,,,,,,,,,
Chapter 1 > 1.1,landbouw,agriculture,,,,,,,,,,,
Chapter 1 > 1.1,metaal,metal,,,,,,,,,,,
Chapter 1 > 1.1,ondanks,Despite,,,,,,,,,,,
Chapter 1 > 1.1,ontstaan,to arise,,,,,,,,,,,
Chapter 1 > 1.1,opgroeien,grow up,,,,,,,,,,,
Chapter 1 > 1.1,recht,right,,,,,,,,,,,
Chapter 1 > 1.1,uitdaging,challenge ,,,,,,,,,,,
Chapter 1 > 1.1,uiteindelijk,finally,,,,,,,,,,,
Chapter 1 > 1.1,verbeteren,improve,,,,,,,,,,,
Chapter 1 > 1.1,weer,weather,,,,,,,,,,,
Chapter 1 > 1.1,weigeren,to refuse,,,,,,,,,,,
