Decks,Word,Definition,Example,Article,Plural,Past Tense,Future Tense,Past Participle,Exercise Type,Question,Correct Answer,Options,Explanation
Chapter 4 > 4.3,aanraden,Recommend/Suggest,,,,,,,,,,,
Chapter 4 > 4.3,beperkt,Limited,,,,,,,,,,,
Chapter 4 > 4.3,bevestigen,Confirm,,,,,,,,,,,
Chapter 4 > 4.3,dwingen,Force,,,,,,,,,,,
Chapter 4 > 4.3,gewoonlijk,Usually/Normally,,,,,,,,,,,
Chapter 4 > 4.3,namens,On behalf of,,,,,,,,,,,
Chapter 4 > 4.3,opgelucht,Relieved,,,,,,,,,,,
Chapter 4 > 4.3,overzicht,Overview,,,,,,,,,,,
Chapter 4 > 4.3,saldo,balance,,,,,,,,,,,
Chapter 4 > 4.3,uitzoeken,to figure out,,,,,,,,,,,
Chapter 4 > 4.3,verdacht,suspicious,,,,,,,,,,,
Chapter 4 > 4.3,verlopen,to expire,,,,,,,,,,,
Chapter 4 > 4.3,verzoek,request,,,,,,,,,,,
