Decks,Word,Definition,Example,Article,Plural,Past Tense,Future Tense,Past Participle,Exercise Type,Question,Correct Answer,Options,Explanation
Chapter 3 > 3.7,Achteraan,At the back/end,,,,,,,,,,,
Chapter 3 > 3.7,Bespaar,Save,,,,,,,,,,,
Chapter 3 > 3.7,besparen,Save,,,,,,,,,,,
Chapter 3 > 3.7,boormachine,Drilling machine,,,,,,,,,,,
Chapter 3 > 3.7,eenvoudig,Simple,,,,,,,,,,,
Chapter 3 > 3.7,emmer,Bucket,,,,,,,,,,,
Chapter 3 > 3.7,gereedschapskist,Tool chest,,,,,,,,,,,
Chapter 3 > 3.7,het valt mee,Its not so bad,,,,,,,,,,,
Chapter 3 > 3.7,ingewikkeld,Complicated,,,,,,,,,,,
Chapter 3 > 3.7,kwast,Brush,,,,,,,,,,,
Chapter 3 > 3.7,meetlint,Tape measure,,,,,,,,,,,
Chapter 3 > 3.7,Mengen,Mix,,,,,,,,,,,
Chapter 3 > 3.7,Mislukken,Unsuccessful/Failed,,,,,,,,,,,
Chapter 3 > 3.7,opknappen,Fix up,,,,,,,,,,,
Chapter 3 > 3.7,Schaar,Scissors,,,,,,,,,,,
Chapter 3 > 3.7,schroef,Screw,,,,,,,,,,,
Chapter 3 > 3.7,schroevendraaier,Screwdriver,,,,,,,,,,,
Chapter 3 > 3.7,schuren,Sand,,,,,,,,,,,
Chapter 3 > 3.7,schuurmachine,Sander,,,,,,,,,,,
Chapter 3 > 3.7,Schuurpapier,Sandpaper,,,,,,,,,,,
Chapter 3 > 3.7,stekker,Plug,,,,,,,,,,,
Chapter 3 > 3.7,Stroom,Electricity/Power/Flow,,,,,,,,,,,
Chapter 3 > 3.7,tang,Pliers,,,,,,,,,,,
Chapter 3 > 3.7,Twijfelt,Doubt/Unsure,,,,,,,,,,,
Chapter 3 > 3.7,Verfroller,Paint roller,,,,,,,,,,,
Chapter 3 > 3.7,Verven,Paint,,,,,,,,,,,
Chapter 3 > 3.7,Verwijderen,Remove/Delete,,,,,,,,,,,
Chapter 3 > 3.7,Volgorde,Order Sequence,,,,,,,,,,,
Chapter 3 > 3.7,zaag,Saw,,,,,,,,,,,
