Word,Exercise Type,Question,Correct Answer,Options,Explanation
biljet,Multiple Choice,What does biljet mean?,Ticket/Bank Note,Ticket/Bank Note;coin;fuel;bride,Biljet means a ticket or banknote.
biljet,Fill in Blank,Ik heb een _____ van 50 euro.,biljet,biljet;munt;saldo;rente,I have a 50 euro note.
brandstof,Multiple Choice,What does brandstof mean?,Fuel,Fuel;bill;bride;money,Brandstof means fuel (for vehicles).
brandstof,Sentence Building,Translate The fuel is expensive,de brandstof is duur,de;brandstof;is;duur,The fuel is expensive.
hypotheek,Multiple Choice,What does hypotheek mean?,Mortgage,Mortgage;fuel;bill;money,Hypotheek means mortgage (loan for house).
hypotheek,Fill in Blank,De _____ is hoog.,hypotheek,hypotheek;rente;saldo;biljet,The mortgage is high.
rente,Multiple Choice,What does rente mean?,interest,interest;mortgage;fuel;bill,Rente means interest (on money).
rente,Sentence Building,Translate The interest is low,de rente is laag,de;rente;is;laag,The interest is low.
saldo,Multiple Choice,What does saldo mean?,balance,balance;interest;mortgage;fuel,Saldo means balance (bank account).
saldo,Fill in Blank,Mijn _____ is positief.,saldo,saldo;rente;hypotheek;biljet,My balance is positive.
Rood Staan,Multiple Choice,What does Rood Staan mean?,to be overdrawn,to be overdrawn;positive balance;high interest;low balance,Rood Staan means to be overdrawn (negative balance).
Rood Staan,Sentence Building,Translate I am overdrawn,ik sta rood,ik;sta;rood,I am overdrawn.
schuldig,Multiple Choice,What does schuldig mean?,guilty/owe,guilty/owe;balance;interest;mortgage,Schuldig means guilty or to owe money.
schuldig,Fill in Blank,Ik ben _____ geld.,schuldig,schuldig;schuld;schulden;schuldigheid,I owe money.
uitgaven,Multiple Choice,What does uitgaven mean?,expenses,expenses;income;balance;interest,Uitgaven means expenses or spending.
uitgaven,Sentence Building,Translate The expenses are high,de uitgaven zijn hoog,de;uitgaven;zijn;hoog,The expenses are high.
vaste lasten,Multiple Choice,What does vaste lasten mean?,fixed costs,fixed costs;variable costs;income;expenses,Vaste lasten means fixed costs (regular expenses).
vaste lasten,Fill in Blank,De _____ zijn maandelijks.,vaste lasten,vaste lasten;uitgaven;inkomen;saldo,The fixed costs are monthly.
Zakgeld,Multiple Choice,What does Zakgeld mean?,pocket money,pocket money;salary;expenses;balance,Zakgeld means pocket money (allowance).
Zakgeld,Sentence Building,Translate I receive pocket money,ik krijg zakgeld,ik;krijg;zakgeld,I receive pocket money.
Munt,Multiple Choice,What does Munt mean?,Coin,Coin;bill;money;currency,Munt means coin (metal money).
Munt,Sentence Building,Translate I have a coin,ik heb een munt,ik;heb;een;munt,I have a coin.
overhouden,Multiple Choice,What does overhouden mean?,Have left,Have left;to spend;to save;to earn,Overhouden means to have left over or remain.
overhouden,Fill in Blank,Ik _____ geld.,overhouden,overhouden;houd;spaar;verdien,I have money left over.
overvallen,Multiple Choice,What does overvallen mean?,Rob/Take by surprise,Rob/Take by surprise;to visit;to help;to call,Overvallen means to rob or take by surprise.
overvallen,Fill in Blank,Ze _____ de bank.,overvallen,overvallen;bezoeken;helpen;bellen,They rob the bank.
overzicht,Multiple Choice,What does overzicht mean?,Overview,Overview;detail;summary;list,Overzicht means overview or summary.
overzicht,Sentence Building,Translate I give an overview,ik geef een overzicht,ik;geef;een;overzicht,I give an overview.
pech,Multiple Choice,What does pech mean?,Bad luck,Bad luck;good luck;chance;fortune,Pech means bad luck or misfortune.
pech,Fill in Blank,Wat een _____!,pech,pech;geluk;kans;fortuin,What bad luck!
lasten,Multiple Choice,What does lasten mean?,Burdens,Burdens;income;expenses;money,Lasten means burdens or costs (financial pressure).
lasten,Fill in Blank,De _____ zijn hoog.,lasten,lasten;inkomen;uitgaven;geld,The burdens are high.
