Decks,Word,Definition,Example,Article,Plural,Past Tense,Future Tense,Past Participle,Exercise Type,Question,Correct Answer,Options,Explanation
Chapter 4 > 4.4,aanleggen,Lay on,,,,,,,,,,,
Chapter 4 > 4.4,besteden,Spend,,,,,,,,,,,
Chapter 4 > 4.4,brandstof,Fuel,,,,,,,,,,,
Chapter 4 > 4.4,daarnaast,In addition,,,,,,,,,,,
Chapter 4 > 4.4,dagelijkse,Daily,,,,,,,,,,,
Chapter 4 > 4.4,eenmalig,One time,,,,,,,,,,,
Chapter 4 > 4.4,hovenier,Gardener,,,,,,,,,,,
Chapter 4 > 4.4,hypotheek,Mortgage,,,,,,,,,,,
Chapter 4 > 4.4,kinderbijslag,Child benefit / allowance,,,,,,,,,,,
Chapter 4 > 4.4,kinderopvang,Day care,,,,,,,,,,,
Chapter 4 > 4.4,lasten,Burdens,,,,,,,,,,,
Chapter 4 > 4.4,overhouden,Have left,,,,,,,,,,,
Chapter 4 > 4.4,Rood Staan,to be overdrawn,,,,,,,,,,,
Chapter 4 > 4.4,schutting,fence,,,,,,,,,,,
Chapter 4 > 4.4,tegenwoordig,nowadays,,,,,,,,,,,
Chapter 4 > 4.4,toeslag,allowance/supplement,,,,,,,,,,,
Chapter 4 > 4.4,uitgaven,expenses,,,,,,,,,,,
Chapter 4 > 4.4,vaste lasten,fixed costs,,,,,,,,,,,
Chapter 4 > 4.4,verzekering,insurance,,,,,,,,,,,
Chapter 4 > 4.4,werkzaamheden,activities/work,,,,,,,,,,,
