Decks,Word,Definition,Example,Article,Plural,Past Tense,Future Tense,Past Participle,Exercise Type,Question,Correct Answer,Options,Explanation
Chapter 1 > 1.2,beleefd,polite,,,,,,,,,,,
Chapter 1 > 1.2,beslissing,decision,,,,,,,,,,,
Chapter 1 > 1.2,direct,directly,,,,,,,,,,,
Chapter 1 > 1.2,eenzaam,lonely,,,,,,,,,,,
Chapter 1 > 1.2,gastvrij,hospitable,,,,,,,,,,,
Chapter 1 > 1.2,gevangenis,prison,,,,,,,,,,,
Chapter 1 > 1.2,heimwee,homesickness,,,,,,,,,,,
Chapter 1 > 1.2,interview,interview,,,,,,,,,,,
Chapter 1 > 1.2,landschap,landscape,,,,,,,,,,,
Chapter 1 > 1.2,lievelings,favorite,,,,,,,,,,,
Chapter 1 > 1.2,nemen,to take,,,,,,,,,,,
Chapter 1 > 1.2,onafhankelijk,independent,,,,,,,,,,,
Chapter 1 > 1.2,onderdeel,element,,,,,,,,,,,
Chapter 1 > 1.2,openbaar,public,,,,,,,,,,,
Chapter 1 > 1.2,ruimte,room,,,,,,,,,,,
Chapter 1 > 1.2,verzorgingshuis,nursing home,,,,,,,,,,,
Chapter 1 > 1.2,vluchten,to flee,,,,,,,,,,,
Chapter 1 > 1.2,wapen,weapon,,,,,,,,,,,
Chapter 1 > 1.2,woestijn,desert,,,,,,,,,,,
