Decks,Word,Definition,Example,Article,Plural,Past Tense,Future Tense,Past Participle,Exercise Type,Question,Correct Answer,Options,Explanation
Chapter 3 > 3.3,aanmelden,To register,,,,,,,,,,,
Chapter 3 > 3.3,Achteraf,afterwards later in hindsight,,,,,,,,,,,
Chapter 3 > 3.3,Afmelden,Log out,,,,,,,,,,,
Chapter 3 > 3.3,Bespreken,to discuss to talk about to review,,,,,,,,,,,
Chapter 3 > 3.3,Dweil,Mop,,,,,,,,,,,
Chapter 3 > 3.3,Klusser,Handyman,,,,,,,,,,,
Chapter 3 > 3.3,Notulen,Meeting Minutes,,,,,,,,,,,
Chapter 3 > 3.3,Rondvraag,Open floor discussion,,,,,,,,,,,
Chapter 3 > 3.3,schoonhouden,To keep clean,,,,,,,,,,,
Chapter 3 > 3.3,Vooraf,beforehand in advance ahead of time,,,,,,,,,,,
Chapter 3 > 3.3,Voorzitten,to chair to preside over,,,,,,,,,,,
Chapter 3 > 3.3,vuilniszakken,garbage bags trash bags,,,,,,,,,,,
Chapter 3 > 3.3,waarschuwen,to warn,,,,,,,,,,,
