Decks,Word,Definition,Example,Article,Plural,Past Tense,Future Tense,Past Participle,Exercise Type,Question,Correct Answer,Options,Explanation
Chapter 5 > 5.1,afnemen,Take off,,,,,,,,,,,
Chapter 5 > 5.1,arbeidsmarkt,Labour job market,,,,,,,,,,,
Chapter 5 > 5.1,daardoor,As a result because of,,,,,,,,,,,
Chapter 5 > 5.1,daarentegen,On the other hand,,,,,,,,,,,
Chapter 5 > 5.1,ervaren,Experienced,,,,,,,,,,,
Chapter 5 > 5.1,handel,Trade business,,,,,,,,,,,
Chapter 5 > 5.1,kampen met,Struggle with,,,,,,,,,,,
Chapter 5 > 5.1,ondernemer,Entrepreneur,,,,,,,,,,,
Chapter 5 > 5.1,stijgen,Rise,,,,,,,,,,,
Chapter 5 > 5.1,tekort,Shortage,,,,,,,,,,,
Chapter 5 > 5.1,verbinden,Connect,,,,,,,,,,,
Chapter 5 > 5.1,verdeling,Distribution,,,,,,,,,,,
