Decks,Word,Definition,Example,Article,Plural,Past Tense,Future Tense,Past Participle,Exercise Type,Question,Correct Answer,Options,Explanation
Chapter 3 > 3.6,Dekbed,Duvet,,,,,,,,,,,
Chapter 3 > 3.6,fototoestel,Camera,,,,,,,,,,,
Chapter 3 > 3.6,Graan,Grain,,,,,,,,,,,
Chapter 3 > 3.6,Kaars,Candle,,,,,,,,,,,
Chapter 3 > 3.6,Kachel,Stove,,,,,,,,,,,
Chapter 3 > 3.6,Kar,Cart/Trolley,,,,,,,,,,,
Chapter 3 > 3.6,Kelder,Cellar,,,,,,,,,,,
Chapter 3 > 3.6,Kunststof,Plastic,,,,,,,,,,,
Chapter 3 > 3.6,kust,Coast,,,,,,,,,,,
Chapter 3 > 3.6,Mand,Basket,,,,,,,,,,,
Chapter 3 > 3.6,platteland,Countryside,,,,,,,,,,,
Chapter 3 > 3.6,put,Pit/Well,,,,,,,,,,,
Chapter 3 > 3.6,schaatsen,Skating,,,,,,,,,,,
Chapter 3 > 3.6,vervuiling,Pollution,,,,,,,,,,,
Chapter 3 > 3.6,vochtig,Moist/Damp,,,,,,,,,,,
Chapter 3 > 3.6,zweten,Sweat,,,,,,,,,,,
