Decks,Word,Definition,Example,Article,Plural,Past Tense,Future Tense,Past Participle,Exercise Type,Question,Correct Answer,Options,Explanation
Chapter 1 > 1.7,angst,fear,,,,,,,,,,,
Chapter 1 > 1.7,avontuur,adventure,,,,,,,,,,,
Chapter 1 > 1.7,betrouwbaar,trustworthy,,,,,,,,,,,
Chapter 1 > 1.7,doel,goal,,,,,,,,,,,
Chapter 1 > 1.7,dromen,dream,,,,,,,,,,,
Chapter 1 > 1.7,eigenschap,characteristic,,,,,,,,,,,
Chapter 1 > 1.7,karakter,character,,,,,,,,,,,
Chapter 1 > 1.7,nakomen,comply,,,,,,,,,,,
Chapter 1 > 1.7,nieuwsgierig,curious,,,,,,,,,,,
Chapter 1 > 1.7,openstaan,be open,,,,,,,,,,,
Chapter 1 > 1.7,opgeven,to report,,,,,,,,,,,
Chapter 1 > 1.7,rommel,rumbling,,,,,,,,,,,
Chapter 1 > 1.7,schamen,embarrass,,,,,,,,,,,
Chapter 1 > 1.7,somber,dull,,,,,,,,,,,
Chapter 1 > 1.7,spontaan,spontaneously,,,,,,,,,,,
Chapter 1 > 1.7,stabiel,stable,,,,,,,,,,,
Chapter 1 > 1.7,toegeven,to give in,,,,,,,,,,,
Chapter 1 > 1.7,vertrouwen,to trust,,,,,,,,,,,
Chapter 1 > 1.7,zich,himself,,,,,,,,,,,
