Decks,Word,Definition,Example,Article,Plural,Past Tense,Future Tense,Past Participle,Exercise Type,Question,Correct Answer,Options,Explanation
Chapter 2 > 2.5,aanpassen,Adjust,,,,,,,,,,,
Chapter 2 > 2.5,Bejaarden,Old people,,,,,,,,,,,
Chapter 2 > 2.5,bestaan,Exist,,,,,,,,,,,
Chapter 2 > 2.5,geestelijk,Spiritual Mentally,,,,,,,,,,,
Chapter 2 > 2.5,Geheugen,Memory,,,,,,,,,,,
Chapter 2 > 2.5,plotseling,Suddenly all of a sudden,,,,,,,,,,,
Chapter 2 > 2.5,regering,Government,,,,,,,,,,,
Chapter 2 > 2.5,Rekening,Take into account Bill,,,,,,,,,,,
Chapter 2 > 2.5,Rolstoel,Wheel Chair,,,,,,,,,,,
Chapter 2 > 2.5,Toenamen,To grow increase,,,,,,,,,,,
Chapter 2 > 2.5,Troosten,Comfort consolation,,,,,,,,,,,
Chapter 2 > 2.5,verpleegkundig,Nursing,,,,,,,,,,,
Chapter 2 > 2.5,vrijwilliger,Volunteer,,,,,,,,,,,
Chapter 2 > 2.5,Zorgen,Care,,,,,,,,,,,
