Decks,Word,Definition,Example,Article,Plural,Past Tense,Future Tense,Past Participle,Exercise Type,Question,Correct Answer,Options,Explanation
Chapter 4 > 4.1,Balen,Annoyed / Disappointed,,,,,,,,,,,
Chapter 4 > 4.1,beseffen,Realize/Be aware of,,,,,,,,,,,
Chapter 4 > 4.1,biljet,Ticket/Bank Note,,,,,,,,,,,
Chapter 4 > 4.1,bruid,bride,,,,,,,,,,,
Chapter 4 > 4.1,erfenis,Inheritance,,,,,,,,,,,
Chapter 4 > 4.1,gebeurtenis,Event,,,,,,,,,,,
Chapter 4 > 4.1,gierig,Stingy/Greedy,,,,,,,,,,,
Chapter 4 > 4.1,goedkomen,It will be fine,,,,,,,,,,,
Chapter 4 > 4.1,gracht,Canal,,,,,,,,,,,
Chapter 4 > 4.1,Gul,Generous,,,,,,,,,,,
Chapter 4 > 4.1,hartstikke,Very / Really / Extremely,,,,,,,,,,,
Chapter 4 > 4.1,inmiddels,In the meantime,,,,,,,,,,,
Chapter 4 > 4.1,inzamelen,Collect,,,,,,,,,,,
Chapter 4 > 4.1,kwijtraken,Get rid of / to lose something,,,,,,,,,,,
Chapter 4 > 4.1,Munt,Coin,,,,,,,,,,,
Chapter 4 > 4.1,noteren,Write down,,,,,,,,,,,
Chapter 4 > 4.1,overmaken,Transfer,,,,,,,,,,,
Chapter 4 > 4.1,overvallen,Rob/Take by surprise,,,,,,,,,,,
Chapter 4 > 4.1,pech,Bad luck,,,,,,,,,,,
Chapter 4 > 4.1,rente,interest,,,,,,,,,,,
Chapter 4 > 4.1,schuldig,guilty/owe,,,,,,,,,,,
Chapter 4 > 4.1,trakteren,to treat,,,,,,,,,,,
Chapter 4 > 4.1,verbaasd,surprised,,,,,,,,,,,
Chapter 4 > 4.1,Zakgeld,pocket money,,,,,,,,,,,
Chapter 4 > 4.1,zich,oneself,,,,,,,,,,,
