Decks,Word,Definition,Example,Article,Plural,Past Tense,Future Tense,Past Participle,Exercise Type,Question,Correct Answer,Options,Explanation
Chapter 5 > 5.2,bovendien,moreover / besides,,,,,,,,,,,
Chapter 5 > 5.2,daarvoor,beforehand,,,,,,,,,,,
Chapter 5 > 5.2,fysiek,physical,,,,,,,,,,,
Chapter 5 > 5.2,gemotiveerd,motivated,,,,,,,,,,,
Chapter 5 > 5.2,kandidaat,candidate,,,,,,,,,,,
Chapter 5 > 5.2,kwaliteit,quality,,,,,,,,,,,
Chapter 5 > 5.2,magazijn,warehouse,,,,,,,,,,,
Chapter 5 > 5.2,overtuigen,convince,,,,,,,,,,,
Chapter 5 > 5.2,persoonlijkheid,personality,,,,,,,,,,,
Chapter 5 > 5.2,plannen,plan,,,,,,,,,,,
Chapter 5 > 5.2,praktisch,practical,,,,,,,,,,,
Chapter 5 > 5.2,stressbestendig,stress resistant,,,,,,,,,,,
Chapter 5 > 5.2,toevoegen,add / include,,,,,,,,,,,
Chapter 5 > 5.2,uitstekend,excellent,,,,,,,,,,,
Chapter 5 > 5.2,vaardigheid,skill / ability,,,,,,,,,,,
Chapter 5 > 5.2,vestiging,branch / establishment,,,,,,,,,,,
Chapter 5 > 5.2,voorkomen,to prevent / to occur,,,,,,,,,,,
Chapter 5 > 5.2,zo'n,such a,,,,,,,,,,,
