Decks,Word,Definition,Example,Article,Plural,Past Tense,Future Tense,Past Participle,Exercise Type,Question,Correct Answer,Options,Explanation
Chapter 2 > 2.6,Achteren,Backwards,,,,,,,,,,,
Chapter 2 > 2.6,ademhaling,Breathing,,,,,,,,,,,
Chapter 2 > 2.6,buigen,Bend,,,,,,,,,,,
Chapter 2 > 2.6,evenwicht,Balance,,,,,,,,,,,
Chapter 2 > 2.6,gespannen,Tense,,,,,,,,,,,
Chapter 2 > 2.6,gevolg,Consequence Result Effect,,,,,,,,,,,
Chapter 2 > 2.6,inademen,Breathe in,,,,,,,,,,,
Chapter 2 > 2.6,leunen,Lean,,,,,,,,,,,
Chapter 2 > 2.6,lijf,Body,,,,,,,,,,,
Chapter 2 > 2.6,linker,Left,,,,,,,,,,,
Chapter 2 > 2.6,omhoog,Upwards,,,,,,,,,,,
Chapter 2 > 2.6,Omlaag,Downwards,,,,,,,,,,,
Chapter 2 > 2.6,ondertussen,Meanwhile,,,,,,,,,,,
Chapter 2 > 2.6,onthouden,Remember,,,,,,,,,,,
Chapter 2 > 2.6,optillen,Lift up,,,,,,,,,,,
Chapter 2 > 2.6,Rechter,Right (side),,,,,,,,,,,
Chapter 2 > 2.6,rechtop,Upright,,,,,,,,,,,
Chapter 2 > 2.6,strekken,Stretch,,,,,,,,,,,
Chapter 2 > 2.6,tijdelijk,Temporary,,,,,,,,,,,
Chapter 2 > 2.6,Uitademen,Breathe out,,,,,,,,,,,
Chapter 2 > 2.6,verminderen,Reduce Decrease,,,,,,,,,,,
Chapter 2 > 2.6,volhouden,Persevere Continue Persist,,,,,,,,,,,
Chapter 2 > 2.6,Voorbij,Over Finished,,,,,,,,,,,
Chapter 2 > 2.6,voordoen,Demonstrate Perform,,,,,,,,,,,
Chapter 2 > 2.6,voren,Forward,,,,,,,,,,,
Chapter 2 > 2.6,zakken,Go flat,,,,,,,,,,,
Chapter 2 > 2.6,Zakt,Sinks,,,,,,,,,,,
