Decks,Word,Definition,Example,Article,Plural,Past Tense,Future Tense,Past Participle,Exercise Type,Question,Correct Answer,Options,Explanation
Chapter 1 > 1.5,aanraken,to touch,,,,,,,,,,,
Chapter 1 > 1.5,boren,to drill,,,,,,,,,,,
Chapter 1 > 1.5,breien,to knit,,,,,,,,,,,
Chapter 1 > 1.5,deelnemen,participate,,,,,,,,,,,
Chapter 1 > 1.5,deskundig,expert,,,,,,,,,,,
Chapter 1 > 1.5,gereedschap,tools,,,,,,,,,,,
Chapter 1 > 1.5,graven,to dig,,,,,,,,,,,
Chapter 1 > 1.5,hardlopen,to run,,,,,,,,,,,
Chapter 1 > 1.5,kledingstuk,garment,,,,,,,,,,,
Chapter 1 > 1.5,knutselen,to craft,,,,,,,,,,,
Chapter 1 > 1.5,lijmen,glue,,,,,,,,,,,
Chapter 1 > 1.5,maaien,mow,,,,,,,,,,,
Chapter 1 > 1.5,milieu,environment,,,,,,,,,,,
Chapter 1 > 1.5,muziekinstrument,musical instrument,,,,,,,,,,,
Chapter 1 > 1.5,naaien,sew,,,,,,,,,,,
Chapter 1 > 1.5,opnemen,to withdraw,,,,,,,,,,,
Chapter 1 > 1.5,oprapen,pick up,,,,,,,,,,,
Chapter 1 > 1.5,plukken,pick,,,,,,,,,,,
Chapter 1 > 1.5,populair,popular,,,,,,,,,,,
Chapter 1 > 1.5,snoeien,prune,,,,,,,,,,,
Chapter 1 > 1.5,timmeren,carpente,,,,,,,,,,,
Chapter 1 > 1.5,versieren,decorate,,,,,,,,,,,
Chapter 1 > 1.5,vervangen,replace,,,,,,,,,,,
Chapter 1 > 1.5,zaaien,sow,,,,,,,,,,,
Chapter 1 > 1.5,zagen,saws,,,,,,,,,,,
