Decks,Word,Definition,Example,Article,Plural,Past Tense,Future Tense,Past Participle,Exercise Type,Question,Correct Answer,Options,Explanation
Chapter 2 > 2.1,Etiket,Label Sticker,,,,,,,,,,,
Chapter 2 > 2.1,Kant-en-klaar,Ready Made,,,,,,,,,,,
Chapter 2 > 2.1,Mager,Thin,,,,,,,,,,,
Chapter 2 > 2.1,Minstens,At least,,,,,,,,,,,
Chapter 2 > 2.1,Ontspannen,Relax Unwind,,,,,,,,,,,
Chapter 2 > 2.1,Schreeuwen,Shout Yell Scream,,,,,,,,,,,
Chapter 2 > 2.1,Slikken,Swallow,,,,,,,,,,,
Chapter 2 > 2.1,Verslaafd,Addicted,,,,,,,,,,,
Chapter 2 > 2.1,Verwennen,To spoil,,,,,,,,,,,
Chapter 2 > 2.1,Voeding,Food Nutritional,,,,,,,,,,,
Chapter 2 > 2.1,Wisselt,To change To alternate,,,,,,,,,,,
