Decks,Word,Definition,Example,Article,Plural,Past Tense,Future Tense,Past Participle,Exercise Type,Question,Correct Answer,Options,Explanation
Chapter 5 > 5.3,aanspreken,to address,,,,,,,,,,,
Chapter 5 > 5.3,belangstelling,interest,,,,,,,,,,,
Chapter 5 > 5.3,betreft,regarding,,,,,,,,,,,
Chapter 5 > 5.3,bijlage,appendix,,,,,,,,,,,
Chapter 5 > 5.3,eerste,first,,,,,,,,,,,
Chapter 5 > 5.3,kortom,in short,,,,,,,,,,,
Chapter 5 > 5.3,motivatie,motivation,,,,,,,,,,,
Chapter 5 > 5.3,punten,point,,,,,,,,,,,
Chapter 5 > 5.3,sterke,strong,,,,,,,,,,,
Chapter 5 > 5.3,toelichten,to enlighten,,,,,,,,,,,
Chapter 5 > 5.3,tweede,second,,,,,,,,,,,
Chapter 5 > 5.3,uitleggen,explain,,,,,,,,,,,
Chapter 5 > 5.3,zowel,both,,,,,,,,,,,
