Decks,Word,Definition,Example,Article,Plural,Past Tense,Future Tense,Past Participle,Exercise Type,Question,Correct Answer,Options,Explanation
Chapter 2 > 2.3,bijsluiter,package insert,,,,,,,,,,,
Chapter 2 > 2.3,bijwerking,side effect,,,,,,,,,,,
Chapter 2 > 2.3,brandwonden,Burns,,,,,,,,,,,
Chapter 2 > 2.3,ernstig,serious,,,,,,,,,,,
Chapter 2 > 2.3,hoestdrank,cough syrup,,,,,,,,,,,
Chapter 2 > 2.3,houdbaarheidsdatum,expiration date,,,,,,,,,,,
Chapter 2 > 2.3,jeuk,itch,,,,,,,,,,,
Chapter 2 > 2.3,kiespijn,Toothache,,,,,,,,,,,
Chapter 2 > 2.3,lippenstift,lipstick,,,,,,,,,,,
Chapter 2 > 2.3,middel,medicine/remedy,,,,,,,,,,,
Chapter 2 > 2.3,pijnstiller,painkiller,,,,,,,,,,,
Chapter 2 > 2.3,pincet,tweezers,,,,,,,,,,,
Chapter 2 > 2.3,pleister,bandage/patch,,,,,,,,,,,
Chapter 2 > 2.3,speld,pin,,,,,,,,,,,
Chapter 2 > 2.3,verband,binding/bandage,,,,,,,,,,,
Chapter 2 > 2.3,verzorging,Care nurturing,,,,,,,,,,,
Chapter 2 > 2.3,voorgeschreven,prescribed,,,,,,,,,,,
Chapter 2 > 2.3,watten,cotton wool,,,,,,,,,,,
