Decks,Word,Definition,Example,Article,Plural,Past Tense,Future Tense,Past Participle,Exercise Type,Question,Correct Answer,Options,Explanation
Chapter 2 > 2.2,Aanvallen,To attack,,,,,,,,,,,
Chapter 2 > 2.2,ademen,to breathe,,,,,,,,,,,
Chapter 2 > 2.2,behandelen,to treat/to handle,,,,,,,,,,,
Chapter 2 > 2.2,benauwd,stuffy/breathless,,,,,,,,,,,
Chapter 2 > 2.2,Beschadigd,Damage,,,,,,,,,,,
Chapter 2 > 2.2,gehoorbescherming,hearing protection,,,,,,,,,,,
Chapter 2 > 2.2,genezen,Heal Cure Recover,,,,,,,,,,,
Chapter 2 > 2.2,grenzen,borders/limits,,,,,,,,,,,
Chapter 2 > 2.2,houding,posture/attitude,,,,,,,,,,,
Chapter 2 > 2.2,maatregel,measure/action,,,,,,,,,,,
Chapter 2 > 2.2,misselijk,nauseous/sick,,,,,,,,,,,
Chapter 2 > 2.2,ongeval,Accident,,,,,,,,,,,
Chapter 2 > 2.2,oorzaak,cause/reason,,,,,,,,,,,
Chapter 2 > 2.2,risico,risk,,,,,,,,,,,
Chapter 2 > 2.2,schrikken,to be startled/to frighten,,,,,,,,,,,
Chapter 2 > 2.2,sneu,sad/pathetic,,,,,,,,,,,
Chapter 2 > 2.2,stoffen,substances/materials,,,,,,,,,,,
Chapter 2 > 2.2,tillen,to lift/to carry,,,,,,,,,,,
Chapter 2 > 2.2,vergelijken,to compare,,,,,,,,,,,
Chapter 2 > 2.2,voorlopig,provisional/temporary,,,,,,,,,,,
Chapter 2 > 2.2,zenuwachtig,nervous/anxious,,,,,,,,,,,
