Word,Exercise Type,Question,Correct Answer,Options,Explanation
daarnaast,Multiple Choice,What does daarnaast mean?,In addition,In addition;besides;nowadays;usually;recently,Daarnaast means in addition or besides.
daarnaast,Fill in Blank,_____ werk ik ook.,Daarnaast,Daarnaast;Tegenwoordig;Gewoonlijk;Recent,In addition.
dagelijkse,Multiple Choice,What does dagelijkse mean?,Daily,Daily;weekly;monthly;yearly,Dagelijkse means daily or everyday.
dagelijkse,Sentence Building,Translate It is daily routine,het is dagelijkse routine,het;is;dagelijkse;routine,It is daily routine.
eenmalig,Multiple Choice,What does eenmalig mean?,One time,One time;daily;weekly;monthly,Eenmalig means one time or single occurrence.
eenmalig,Fill in Blank,Het is een _____ betaling.,eenmalig,eenmalig;dagelijks;wekelijks;maandelijks,It is a one-time payment.
gewoonlijk,Multiple Choice,What does gewoonlijk mean?,Usually/Normally,Usually/Normally;sometimes;never;always,Gewoonlijk means usually or normally.
gewoonlijk,Sentence Building,Translate I usually go to bed early,ik ga gewoonlijk vroeg naar bed,ik;ga;gewoonlijk;vroeg;naar;bed,I usually go to bed early.
goedkomen,Multiple Choice,What does goedkomen mean?,It will be fine,It will be fine;to come;to arrive;to leave,Goedkomen means it will be fine or work out well.
goedkomen,Fill in Blank,Hopelijk _____ het goed.,goedkomen,goedkomen;komt;werkt;loopt,Hopefully it will be fine.
gracht,Multiple Choice,What does gracht mean?,Canal,Canal;river;lake;sea,Gracht means canal (waterway in cities).
gracht,Sentence Building,Translate The canal is beautiful,de gracht is mooi,de;gracht;is;mooi,The canal is beautiful.
hartstikke,Multiple Choice,What does hartstikke mean?,Very / Really / Extremely,Very / Really / Extremely;always;sometimes;never,Hartstikke means very / really / or extremely.
hartstikke,Fill in Blank,Het is _____ leuk.,hartstikke,hartstikke;heel;erg;zeer,It is really fun.
inmiddels,Multiple Choice,What does inmiddels mean?,In the meantime,In the meantime;nowadays;usually;recently,Inmiddels means in the meantime or by now.
inmiddels,Sentence Building,Translate In the meantime it is ready,inmiddels is het klaar,inmiddels;is;het;klaar,In the meantime it is ready.
kritiek,Multiple Choice,What does kritiek mean?,Criticism,Criticism;praise;comment;review,Kritiek means criticism or critical feedback.
kritiek,Fill in Blank,De _____ is terecht.,kritiek,kritiek;lof;commentaar;recensie,The criticism is justified.
kwijtraken,Multiple Choice,What does kwijtraken mean?,Get rid of / to lose something,Get rid of / to lose something;to find;to keep;to save,Kwijtraken means to get rid of or lose something.
kwijtraken,Fill in Blank,Ik _____ mijn sleutels.,kwijtraken,kwijtraken;verlies;zoek;vind,I lose my keys.
schutting,Multiple Choice,What does schutting mean?,fence,fence;wall;gate;door,Schutting means fence (garden fence).
schutting,Sentence Building,Translate The fence is high,de schutting is hoog,de;schutting;is;hoog,The fence is high.
sfeer,Multiple Choice,What does sfeer mean?,atmosphere,atmosphere;weather;mood;feeling,Sfeer means atmosphere or mood.
sfeer,Fill in Blank,De _____ is gezellig.,sfeer,sfeer;weer;stemming;gevoel,The atmosphere is cozy.
tegenwoordig,Multiple Choice,What does tegenwoordig mean?,nowadays,nowadays;usually;recently;always,Tegenwoordig means nowadays or these days.
tegenwoordig,Sentence Building,Translate Nowadays I work from home,tegenwoordig werk ik thuis,tegenwoordig;werk;ik;thuis,Nowadays I work from home.
terecht,Multiple Choice,What does terecht mean?,justified,justified;wrong;correct;right,Terecht means justified or deserved.
terecht,Fill in Blank,De kritiek is _____.,terecht,terecht;onterecht;goed;slecht,The criticism is justified.
verantwoordelijk,Multiple Choice,What does verantwoordelijk mean?,responsible,responsible;guilty;wrong;right,Verantwoordelijk means responsible or accountable.
verantwoordelijk,Fill in Blank,Ik ben _____.,verantwoordelijk,verantwoordelijk;schuldig;fout;goed,I am responsible.
verlopen,Multiple Choice,What does verlopen mean?,to expire,to expire;to start;to continue;to finish,Verlopen means to expire or run out.
verlopen,Fill in Blank,Het contract is _____.,verlopen,verlopen;gestart;gecontinueerd;gefinishd,The contract has expired.
verzekering,Multiple Choice,What does verzekering mean?,insurance,insurance;guarantee;promise;contract,Verzekering means insurance (protection).
verzekering,Sentence Building,Translate I have insurance,ik heb een verzekering,ik;heb;een;verzekering,I have insurance.
verzoek,Multiple Choice,What does verzoek mean?,request,request;demand;order;command,Verzoek means request or plea.
verzoek,Fill in Blank,Ik doe een _____.,verzoek,verzoek;eis;bevel;commando,I make a request.
zich,Multiple Choice,What does zich mean?,oneself,oneself;himself;herself;themselves,Zich means oneself or reflexive pronoun.
zich,Sentence Building,Translate I wash myself,ik was me,ik;was;me,I wash myself.
zinloos,Multiple Choice,What does zinloos mean?,pointless,pointless;useful;helpful;good,Zinloos means pointless or meaningless.
zinloos,Fill in Blank,Het is _____.,zinloos,zinloos;nuttig;helpvol;goed,It is pointless.
