Word,Exercise Type,Question,Correct Answer,Options,Explanation
bruid,Multiple Choice,What does bruid mean?,bride,bride;groom;wedding;family,Bruid means bride (woman getting married).
bruid,Fill in Blank,De _____ is mooi.,bruid,bruid;bruidegom;bruiloft;familie,The bride is beautiful.
erfenis,Multiple Choice,What does erfenis mean?,Inheritance,Inheritance;wedding;family;bride,Erfenis means inheritance (money/property from deceased).
erfenis,Sentence Building,Translate I receive an inheritance,ik krijg een erfenis,ik;krijg;een;erfenis,I receive an inheritance.
kinderbijslag,Multiple Choice,What does kinderbijslag mean?,Child benefit / allowance,Child benefit / allowance;child care;family allowance;tax credit,Kinderbijslag means child benefit (government payment).
kinderbijslag,Fill in Blank,De _____ is maandelijks.,kinderbijslag,kinderbijslag;kinderopvang;erfenis;familie,The child benefit is monthly.
kinderopvang,Multiple Choice,What does kinderopvang mean?,Day care,Day care;child benefit;family;school,Kinderopvang means day care (childcare).
kinderopvang,Sentence Building,Translate The day care is expensive,de kinderopvang is duur,de;kinderopvang;is;duur,The day care is expensive.
toeslag,Multiple Choice,What does toeslag mean?,allowance/supplement,allowance/supplement;tax;salary;expense,Toeslag means allowance or supplement (extra payment).
toeslag,Fill in Blank,Ik krijg een _____.,toeslag,toeslag;salaris;belasting;uitkering,I receive an allowance.
Verlof,Multiple Choice,What does Verlof mean?,leave/vacation,leave/vacation;work;salary;holiday,Verlof means leave or vacation time.
Verlof,Sentence Building,Translate I have leave/vacation,ik heb verlof,ik;heb;verlof,I have leave/vacation.
dwingen,Multiple Choice,What does dwingen mean?,Force,Force;to recommend;to spend;to realize,Dwingen means to force or compel someone.
dwingen,Fill in Blank,Ik _____ hem niet.,dwingen,dwingen;dwing;dwingt;gedwongen,I don't force him.
eisen,Multiple Choice,What does eisen mean?,Demand,Demand;to force;to spend;to realize,Eisen means to demand or require something.
eisen,Sentence Building,Translate I demand respect,ik eis respect,ik;eis;respect,I demand respect.
gebeurtenis,Multiple Choice,What does gebeurtenis mean?,Event,Event;event;work;activity;meeting,Gebeurtenis means event.
gebeurtenis,Fill in Blank,Het is een belangrijke _____.,gebeurtenis,gebeurtenis;werk;activiteit;vergadering,It is an important event.
hovenier,Multiple Choice,What does hovenier mean?,Gardener,Gardener;farmer;worker;teacher,Hovenier means gardener (person who works with gardens).
hovenier,Sentence Building,Translate The gardener works hard,de hovenier werkt hard,de;hovenier;werkt;hard,The gardener works hard.
inzamelen,Multiple Choice,What does inzamelen mean?,Collect,Collect;to work;to spend;to earn,Inzamelen means to collect or gather (often money).
inzamelen,Fill in Blank,Wij _____ geld voor een goed doel.,inzamelen,inzamelen;zamelen;verzamelen;collecteren,We collect money for a good cause.
noteren,Multiple Choice,What does noteren mean?,Write down,Write down;to collect;to work;to spend,Noteren means to write down or note down.
noteren,Sentence Building,Translate I write it down,ik noteer het,ik;noteer;het,I write it down.
overmaken,Multiple Choice,What does overmaken mean?,Transfer,Transfer;to collect;to work;to spend,Overmaken means to transfer (money).
overmaken,Fill in Blank,Ik _____ geld naar je rekening.,overmaken,overmaken;maak;transfer;storten,I transfer money to your account.
trakteren,Multiple Choice,What does trakteren mean?,to treat,to treat;to work;to collect;to spend,Trakteren means to treat (pay for someone).
trakteren,Sentence Building,Translate I treat you,ik trakteer je,ik;trakteer;je,I treat you.
uitzoeken,Multiple Choice,What does uitzoeken mean?,to figure out,to figure out;to work;to collect;to spend,Uitzoeken means to figure out or investigate.
uitzoeken,Fill in Blank,Ik _____ het probleem.,uitzoeken,uitzoeken;zoek;onderzoek;vind,I figure out the problem.
werkzaamheden,Multiple Choice,What does werkzaamheden mean?,activities/work,activities/work;work;meetings;projects,Werkzaamheden means activities or work tasks.
werkzaamheden,Sentence Building,Translate The work activities are finished,de werkzaamheden zijn klaar,de;werkzaamheden;zijn;klaar,The work activities are finished.
