Decks,Word,Definition,Example,Article,Plural,Past Tense,Future Tense,Past Participle,Exercise Type,Question,Correct Answer,Options,Explanation
Chapter 3 > 3.5,bereid,Prepared,,,,,,,,,,,
Chapter 3 > 3.5,Herrie,Noise,,,,,,,,,,,
Chapter 3 > 3.5,Langsgaan,Pass by,,,,,,,,,,,
Chapter 3 > 3.5,Logeren,Stay Sleepover (temp),,,,,,,,,,,
Chapter 3 > 3.5,nauwelijks,hardly barely or scarcely,,,,,,,,,,,
Chapter 3 > 3.5,Nogal,rather quite somewhat,,,,,,,,,,,
Chapter 3 > 3.5,ontzettend,Terribly,,,,,,,,,,,
Chapter 3 > 3.5,Ontzettende,Enormous Extreme,,,,,,,,,,,
Chapter 3 > 3.5,overnemen,to take over to adopt to copy,,,,,,,,,,,
Chapter 3 > 3.5,Praatje,Small Talk,,,,,,,,,,,
Chapter 3 > 3.5,Tijdstip,Exact Time,,,,,,,,,,,
Chapter 3 > 3.5,Trouwens,by the way incidentally actually,,,,,,,,,,,
Chapter 3 > 3.5,waardeer,Appreciate,,,,,,,,,,,
Chapter 3 > 3.5,waarderen,to appreciate to value to respect,,,,,,,,,,,
Chapter 3 > 3.5,weggelopen,Run away,,,,,,,,,,,
Chapter 3 > 3.5,zekerheid,Certainty,,,,,,,,,,,
